user_id,hotel_id,rating
1,1,5.0
2,1,5.0
3,1,5.0
4,2,2.0
5,2,5.0
6,2,5.0
7,2,5.0
8,2,5.0
9,2,5.0
10,3,5.0
11,3,5.0
12,3,5.0
13,3,5.0
14,3,5.0
15,3,5.0
16,4,4.0
17,4,5.0
18,4,3.0
19,4,5.0
20,4,4.0
21,5,5.0
22,6,5.0
23,7,5.0
24,7,4.0
25,7,5.0
26,7,3.0
27,8,1.0
28,8,1.0
29,9,4.0
30,9,5.0
31,9,2.0
32,9,5.0
33,9,4.0
34,9,5.0
35,9,4.0
36,9,5.0
37,9,5.0
38,9,5.0
39,9,4.0
40,9,4.0
41,9,4.0
42,9,4.0
43,9,5.0
44,9,5.0
45,9,5.0
46,9,3.0
47,9,5.0
48,9,5.0
49,9,4.0
50,9,5.0
51,9,5.0
52,9,5.0
53,9,5.0
54,9,5.0
55,9,5.0
56,9,4.0
57,9,5.0
58,9,5.0
59,9,4.0
60,10,5.0
61,10,5.0
62,10,5.0
63,10,5.0
64,10,5.0
65,10,5.0
66,10,4.0
67,10,5.0
68,10,5.0
69,10,4.0
70,10,5.0
71,10,5.0
72,10,5.0
73,10,5.0
74,10,5.0
75,10,5.0
76,11,4.0
77,11,5.0
78,11,3.0
79,11,3.0
80,12,5.0
81,13,5.0
82,13,4.8
83,13,4.6
84,13,4.6
85,13,4.8
86,13,3.55
87,13,4.4
88,13,5.0
89,13,4.6
90,13,5.0
91,13,5.0
92,13,5.0
93,13,5.0
94,13,4.8
95,13,4.8
96,13,5.0
97,13,4.8
98,13,5.0
99,13,5.0
100,14,4.6
101,14,4.8
102,14,4.15
103,14,2.5
104,14,3.95
105,14,4.6
106,14,5.0
107,14,5.0
108,14,5.0
109,14,2.9
110,14,2.9
111,14,4.0
112,14,5.0
113,14,5.0
114,14,5.0
115,14,3.35
116,14,5.0
117,14,4.6
118,14,5.0
119,14,3.75
120,14,5.0
121,14,4.6
122,14,5.0
123,14,5.0
124,14,3.75
125,14,3.95
126,14,5.0
127,14,4.5
128,14,4.8
129,14,3.55
